"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geoData";
"108";"Автомобильная заправочная станция № 85 «Татнефть-АЗС-Запад»";"4539524";"АЗС № 85 «Татнефть-АЗС-Запад»";"Восточный административный округ";"район Новокосино";"4-й километр Московской Кольцевой Автодороги";"ООО «Татнефть-АЗС-Запад»";"12.03.2014";"{type=Point, coordinates=[37.842568648178, 55.744847475969]}";
"116";"Автомобильная заправочная станция № 1 «Аванти МТА»";"4539525";"АЗС № 1 «Аванти МТА»";"Северо-Западный административный округ";"район Щукино";"улица Берзарина, дом 26, корпус 1";"ООО «Аванти МТА»";"18.03.2014";"{type=Point, coordinates=[37.476602651346, 55.788891757295]}";
"122";"Автомобильная заправочная станция № 7 «Транссервис-А.С.»";"4539526";"АЗС № 7 «Транссервис-А.С.»";"Центральный административный округ";"Таганский район";"Волгоградский проспект, владение 1";"ООО «Транссервис-А.С.»";"15.04.2014";"{type=Point, coordinates=[37.670913532197, 55.731913659544]}";
"123";"Автомобильная заправочная станция «Транссервис-А.С.» на Пролетарском проспекте, владение 30А";"4539527";"АЗС «Транссервис-А.С.» на Пролетарском проспекте, владение 30А";"Южный административный округ";"район Царицыно";"Пролетарский проспект, владение 30А";"ООО «Транссервис-А.С.»";"17.04.2014";"{type=Point, coordinates=[37.660130286396, 55.630920260719]}";
"124";"Автомобильная заправочная станция «Вектор» на Пятницком шоссе, дом 2";"4539528";"АЗС «Вектор» на Пятницком шоссе, дом 2";"Северо-Западный административный округ";"район Митино";"Пятницкое шоссе, дом 2";"ООО «Вектор»";"22.04.2014";"{type=Point, coordinates=[37.388791806086, 55.835168894295]}";
"125";"Автомобильная заправочная станция «Фортекс» на Алтуфьевском шоссе, дом 77Б";"4539529";"АЗС «Фортекс» на Алтуфьевском шоссе, дом 77Б";"Северо-Восточный административный округ";"Алтуфьевский район";"Алтуфьевское шоссе, дом 77Б";"ООО «Фортекс»";"24.04.2014";"{type=Point, coordinates=[37.586020153938, 55.877262624785]}";
"130";"Автомобильная заправочная станция «Академическая» на проспекте 60-ти летия Октября, владение 8, строение 1";"4539530";"АЗС «Академическая» на проспекте 60-ти летия Октября, владение 8, строение 1";"Юго-Западный административный округ";"Академический район";"проспект 60-ти летия Октября, владение 8, строение 1";"ОАО «РН-Столица»";"19.06.2014";"{type=Point, coordinates=[37.577405183633, 55.697915454001]}";
"135";"Автомобильная заправочная станция «Приоритет - World» на Южнопортовой улице, дом 19Б";"4539531";"АЗС «Приоритет - World» на Южнопортовой улице, дом 19Б";"Юго-Восточный административный округ";"район Печатники";"Южнопортовая улица, дом 19Б";"ЗАО коммерческо-холдинговая компания «Приоритет - World»";"14.08.2014";"{type=Point, coordinates=[37.703003158442, 55.706519153773]}";
"138";"Автомобильная заправочная станция ПКП «КАРТЕКС» на улице Садовники, дом 11А, строение 1";"4539532";"АЗС ПКП «КАРТЕКС» на улице Садовники, дом 11А, строение 1";"Южный административный округ";"район Нагатино-Садовники";"улица Садовники, дом 11А, строение 1";"ООО ПКП «КАРТЕКС»";"21.08.2014";"{type=Point, coordinates=[37.656412766589, 55.674206065869]}";
"142";"Автомобильная заправочная станция «Нефтьмагистраль» на Южнопортовой улице, дом 38Б";"4539533";"АЗС «Нефтьмагистраль» на Южнопортовой улице, дом 38Б";"Юго-Восточный административный округ";"район Печатники";"Южнопортовая улица, дом 38Б";"ООО «ТД Нефтьмагистраль»";"30.09.2014";"{type=Point, coordinates=[37.709285579354, 55.698039799808]}";
